TickerName,Week,Index,NewsTitle,NewsLink
ADBE,From 2018-01-01 to 2018-01-07,1,ADBE 564.62 -25.82 -4.37% : ADOBE INC. - MSN Money,https://www.msn.com/en-us/money/stockdetails/fi-a1mv7w
ADBE,From 2018-01-01 to 2018-01-07,2,Adobe Stock Falls As Media Software Firm Gives Weak Sales Outlook,https://www.msn.com/en-us/money/topstocks/adobe-stock-falls-as-media-software-firm-gives-weak-sales-outlook/ar-AA1lsDG9
ADBE,From 2018-01-01 to 2018-01-07,3,ADBE 590.44 -14.22 -2.35% : ADOBE INC. - MSN Money,https://www.msn.com/en-us/money/stockdetails/nas-adbe/fi-a1mv7w
ADBE,From 2018-01-01 to 2018-01-07,4,"Dow Jones Leader Apple, Netflix Stock Eye Buy Points In Today's ...",https://www.msn.com/en-us/money/topstocks/dow-jones-leader-apple-netflix-stock-eye-buy-points-in-today-s-stock-market/ar-AA1ghtnY
ADBE,From 2018-01-01 to 2018-01-07,5,Inflation and the Fed: What to watch,http://www.msn.com/en-us/money/markets/inflation-and-the-fed-what-to-watch/ar-AA1lhO81
ADP,From 2018-01-01 to 2018-01-07,1,"ADP 253.81 +1.76 +0.70% : AUTOMATIC DATA PROCESSING, INC ...",https://www.msn.com/en-us/money/stockdetails/fi-a1mw4c
ADP,From 2018-01-01 to 2018-01-07,2,"ADP : AUTOMATIC DATA PROCESSING, INC. - MSN Money",https://www.msn.com/en-us/money/stockdetails/fi-a1mw4c?ocid=sbb
ADP,From 2018-01-01 to 2018-01-07,3,"ADP 252.97 +0.92 +0.37% : AUTOMATIC DATA PROCESSING, INC.",https://www.msn.com/en-us/money/stockdetails/fi-a1mw4c?item=spalink%253A20201026.308%252Fdebug&ocid=winp2fptaskbarhoverent
ADP,From 2018-01-01 to 2018-01-07,4,ADP 251.64 -0.4099 -0.16% : AUTOMATIC DATA PROCESSING ...,https://www.msn.com/en-us/money/stockdetails/fi-a1mw4c?ocid=anaheim-ntp-feeds
ADP,From 2018-01-01 to 2018-01-07,5,ADP : A DONG PAINT JOINT STOCK COMPANY - MSN Money,https://www.msn.com/en-us/money/stockdetails/fi-cafvf2?ocid=xnetr3-2
